# PlanetName,	PlanetNo,	EpochYY,EpochMM,EpochDD,Epochhh,Epochmm,Epochss,a,	e,	M0,	nperday=360/365.2425/P,	ra,	rb,	P,	Ω,		i,		ω,		m,		r, 		mv
Sun,		0,		1996,	7,	1,	9,	0,	0,	0.0,	0.0,	0.0,	0.0,			0.0,	0.0,	0.0,	0.0,		0.0,		0.0,		1.9891E+30,	696000000.0,	1.0 
Mercury,	1,		1996,	7,	1,	9,	0,	0,	0.3871,	0.2056,	338.653,4.091517320530771061526,0.3075,	0.4667,	0.2409,	48.335,		7.005,		29.023967,	3.301E+23,	2440000.0,	1.0 
Venus,		2,		1996,	7,	1,	9,	0,	0,	0.7233,	0.0068,	160.49,	1.602156245962065586348,0.718,	0.728,	0.6152,	76.69,		3.395,		54.720439,	4.869E+24,	6052000.0,	1.0
Earth,		3,		1996,	7,	1,	9,	0,	0,	1.0,	0.0167,	176.453,0.985646522515862748721,0.983,	1.017,	1.0,	174.345189,	0.003836,	287.825581,	5.9736E+24,	6378000.0,	1.0
Mars,		4,		1996,	7,	1,	9,	0,	0,	1.5237,	0.0934,	68.889,	0.524029200125398877517,1.381,	1.666,	1.8809,	49.568,		1.85,		286.184381,	6.4191E+23,	3397000.0,	1.0
Jupiter,	5,		1996,	7,	1,	9,	0,	0,	5.2026,	0.0485,	273.712,0.083092777146843934304,4.952,	5.455,	11.862,	100.46,		1.303,		273.511644,	1.8986E+27,	71492000.0,	1.0
Saturn,		6,		1996,	7,	1,	9,	0,	0,	9.5549,	0.0555,	274.229,0.033459383614497343632,9.021,	10.054,	29.458,	113.674,	2.489,		338.052139,	5.688E+26,	60268000.0,	1.0
Uranus,		7,		1996,	7,	1,	9,	0,	0,	19.2184,0.0463,	126.044,0.011730814816546413424,18.286,	20.096,	84.022,	74.004,		0.773,		98.308736,	8.686E+25,	25559000.0,	1.0 
Neptune,	8,		1996,	7,	1,	9,	0,	0,	30.1104,0.009,	248.574,0.005981808553023309191,29.811,	30.327,	164.774,131.783,	1.77,		275.0,		1.024E+26,	24764000.0,	1.0 
Pluto,		9,		1996,	7,	1,	9,	0,	0,	39.5402,0.249,	9.236,	0.003977653079613322042,29.574,	49.316,	247.796,110.318,	17.145,		112.6,		1.3E+22,	1137000.0,	1.0
ceres,		10,		1995,	10,	10,	9,	0,	0,	2.767,	0.076,	37.9,	0.214270983155622336678,2.547,	2.984,	4.6,	80.7,		10.6,		71.5,		9.445E+20,	952400.0,	1.0
pallas,		11,		1995,	10,	10,	9,	0,	0,	2.771,	0.234,	24.0,	0.213343403141961633922,2.132,	3.413,	4.62,	173.3,		34.8,		309.7,		2.06E+20,	556000.0,	1.0
juno,		12,		1995,	10,	10,	9,	0,	0,	2.670,	0.257,	251.4,	0.226065716173363015761,1.989,	3.351,	4.36,	170.2,		13.0,		247.8,		2.824E+19,	233920,		1.0
vesta,		13,		1995,	10,	10,	9,	0,	0,	2.361,	0.09,	280.7,	0.271527967635223897719,2.153,	2.571,	3.63,	104.0,		7.1,		150.3,		2.701E+20,	468300,		1.0
chiron,		14,		1995,	10,	10,	9,	0,	0,	13.713,	0.383,	357.5,	0.019417780191407855569,8.498,	18.92,	50.76,	209.4,		6.9,		339.5,		2.4E+18,	166000,		1.0
